"";"Time";"exp";"insp";"idx"
"1";2406,027;0;1;8
"2";2406,227;1;0;12
"3";2406,477;0;1;17
"4";2407,377;1;0;35
"5";2408,777;0;1;63
"6";2408,977;1;0;67
"7";2409,227;0;1;72
"8";2410,477;1;0;97
"9";2412,477;0;1;137
"10";2413,377;1;0;155
"11";2414,927;0;1;186
"12";2415,927;1;0;206
"13";2417,827;0;1;244
"14";2419,677;1;0;281
"15";2422,177;0;1;331
"16";2423,377;1;0;355
"17";2425,527;0;1;398
"18";2426,927;1;0;426
"19";2428,877;0;1;465
"20";2429,127;1;0;470
"21";2429,327;0;1;474
"22";2431,077;1;0;509
"23";2433,577;0;1;559
"24";2434,427;1;0;576
"25";2437,377;0;1;635
"26";2438,277;1;0;653
"27";2439,627;0;1;680
"28";2440,577;1;0;699
"29";2441,827;0;1;724
"30";2443,277;1;0;753
"31";2445,827;0;1;804
"32";2446,727;1;0;822
"33";2448,077;0;1;849
"34";2449,127;1;0;870
"35";2450,427;0;1;896
"36";2451,727;1;0;922
"37";2452,877;0;1;945
"38";2453,927;1;0;966
"39";2455,527;0;1;998
"40";2456,577;1;0;1019
"41";2457,877;0;1;1045
"42";2458,977;1;0;1067
"43";2460,277;0;1;1093
"44";2461,677;1;0;1121
"45";2463,127;0;1;1150
"46";2464,127;1;0;1170
"47";2465,477;0;1;1197
"48";2466,727;1;0;1222
"49";2468,377;0;1;1255
"50";2469,627;1;0;1280
"51";2471,777;0;1;1323
"52";2473,027;1;0;1348
"53";2474,527;0;1;1378
"54";2475,727;1;0;1402
"55";2477,377;0;1;1435
"56";2478,577;1;0;1459
"57";2480,127;0;1;1490
"58";2481,327;1;0;1514
"59";2482,827;0;1;1544
"60";2484,027;1;0;1568
"61";2485,477;0;1;1597
"62";2486,727;1;0;1622
"63";2488,127;0;1;1650
"64";2489,327;1;0;1674
"65";2490,827;0;1;1704
"66";2491,677;1;0;1721
"67";2493,077;0;1;1749
"68";2494,127;1;0;1770
"69";2495,327;0;1;1794
"70";2496,427;1;0;1816
"71";2497,627;0;1;1840
"72";2498,777;1;0;1863
"73";2499,727;0;1;1882
"74";2500,627;1;0;1900
"75";2501,777;0;1;1923
"76";2502,677;1;0;1941
"77";2503,677;0;1;1961
"78";2504,327;1;0;1974
"79";2505,327;0;1;1994
"80";2506,227;1;0;2012
"81";2506,877;0;1;2025
"82";2507,727;1;0;2042
"83";2508,677;0;1;2061
"84";2509,477;1;0;2077
"85";2510,327;0;1;2094
"86";2511,327;1;0;2114
"87";2512,677;0;1;2141
"88";2513,527;1;0;2158
"89";2514,527;0;1;2178
"90";2515,377;1;0;2195
"91";2516,327;0;1;2214
"92";2517,327;1;0;2234
"93";2518,427;0;1;2256
"94";2519,277;1;0;2273
"95";2520,177;0;1;2291
"96";2520,727;1;0;2302
"97";2521,627;0;1;2320
"98";2522,377;1;0;2335
"99";2523,377;0;1;2355
"100";2524,427;1;0;2376
"101";2525,377;0;1;2395
"102";2526,177;1;0;2411
"103";2527,127;0;1;2430
"104";2527,927;1;0;2446
"105";2528,627;0;1;2460
"106";2529,227;1;0;2472
"107";2530,227;0;1;2492
"108";2530,777;1;0;2503
"109";2531,577;0;1;2519
"110";2532,277;1;0;2533
"111";2533,227;0;1;2552
"112";2534,077;1;0;2569
"113";2535,177;0;1;2591
"114";2535,927;1;0;2606
"115";2536,777;0;1;2623
"116";2537,777;1;0;2643
"117";2538,977;0;1;2667
"118";2540,227;1;0;2692
"119";2541,127;0;1;2710
"120";2541,877;1;0;2725
"121";2542,727;0;1;2742
"122";2543,527;1;0;2758
"123";2544,277;0;1;2773
"124";2545,077;1;0;2789
"125";2545,877;0;1;2805
"126";2546,677;1;0;2821
"127";2547,477;0;1;2837
"128";2548,277;1;0;2853
"129";2549,077;0;1;2869
"130";2549,877;1;0;2885
"131";2550,677;0;1;2901
"132";2551,477;1;0;2917
"133";2552,277;0;1;2933
"134";2553,027;1;0;2948
"135";2553,877;0;1;2965
"136";2554,627;1;0;2980
"137";2555,477;0;1;2997
"138";2556,277;1;0;3013
"139";2557,077;0;1;3029
"140";2557,827;1;0;3044
"141";2558,677;0;1;3061
"142";2559,427;1;0;3076
"143";2560,227;0;1;3092
"144";2561,027;1;0;3108
"145";2561,827;0;1;3124
"146";2562,627;1;0;3140
"147";2563,427;0;1;3156
"148";2564,227;1;0;3172
"149";2565,077;0;1;3189
"150";2565,827;1;0;3204
"151";2566,627;0;1;3220
"152";2567,427;1;0;3236
"153";2568,277;0;1;3253
"154";2569,077;1;0;3269
"155";2569,877;0;1;3285
"156";2570,677;1;0;3301
"157";2571,527;0;1;3318
"158";2572,277;1;0;3333
"159";2573,127;0;1;3350
"160";2573,927;1;0;3366
"161";2574,727;0;1;3382
"162";2575,527;1;0;3398
"163";2576,327;0;1;3414
"164";2577,127;1;0;3430
"165";2577,927;0;1;3446
"166";2578,677;1;0;3461
"167";2579,577;0;1;3479
"168";2580,377;1;0;3495
"169";2581,177;0;1;3511
"170";2582,027;1;0;3528
"171";2582,777;0;1;3543
"172";2583,577;1;0;3559
"173";2584,427;0;1;3576
"174";2585,227;1;0;3592
"175";2586,077;0;1;3609
"176";2586,827;1;0;3624
"177";2587,577;0;1;3639
"178";2588,377;1;0;3655
"179";2589,177;0;1;3671
"180";2590,077;1;0;3689
"181";2590,877;0;1;3705
"182";2591,777;1;0;3723
"183";2592,777;0;1;3743
"184";2593,527;1;0;3758
"185";2594,377;0;1;3775
"186";2595,127;1;0;3790
"187";2596,077;0;1;3809
"188";2596,777;1;0;3823
"189";2597,627;0;1;3840
"190";2598,377;1;0;3855
"191";2599,177;0;1;3871
"192";2599,977;1;0;3887
"193";2600,877;0;1;3905
"194";2601,677;1;0;3921
"195";2602,477;0;1;3937
"196";2603,227;1;0;3952
"197";2604,077;0;1;3969
"198";2604,827;1;0;3984
"199";2605,627;0;1;4000
"200";2606,377;1;0;4015
"201";2607,277;0;1;4033
"202";2608,027;1;0;4048
"203";2608,877;0;1;4065
"204";2609,627;1;0;4080
"205";2610,527;0;1;4098
"206";2611,277;1;0;4113
"207";2612,127;0;1;4130
"208";2612,877;1;0;4145
"209";2613,727;0;1;4162
"210";2614,477;1;0;4177
"211";2615,377;0;1;4195
"212";2616,127;1;0;4210
"213";2616,977;0;1;4227
"214";2617,727;1;0;4242
"215";2618,627;0;1;4260
"216";2619,427;1;0;4276
"217";2620,227;0;1;4292
"218";2620,977;1;0;4307
"219";2621,827;0;1;4324
"220";2622,577;1;0;4339
"221";2623,377;0;1;4355
"222";2624,177;1;0;4371
"223";2625,027;0;1;4388
"224";2625,777;1;0;4403
"225";2626,627;0;1;4420
"226";2627,427;1;0;4436
"227";2628,227;0;1;4452
"228";2629,027;1;0;4468
"229";2629,877;0;1;4485
"230";2630,677;1;0;4501
"231";2631,477;0;1;4517
"232";2632,277;1;0;4533
"233";2633,177;0;1;4551
"234";2633,927;1;0;4566
"235";2634,777;0;1;4583
"236";2635,527;1;0;4598
"237";2636,327;0;1;4614
"238";2637,077;1;0;4629
"239";2637,977;0;1;4647
"240";2638,727;1;0;4662
"241";2639,577;0;1;4679
"242";2640,327;1;0;4694
"243";2641,227;0;1;4712
"244";2641,927;1;0;4726
"245";2642,777;0;1;4743
"246";2643,527;1;0;4758
"247";2644,427;0;1;4776
"248";2645,177;1;0;4791
"249";2646,027;0;1;4808
"250";2646,827;1;0;4824
"251";2647,677;0;1;4841
"252";2648,427;1;0;4856
"253";2649,327;0;1;4874
"254";2650,077;1;0;4889
"255";2650,877;0;1;4905
"256";2651,627;1;0;4920
"257";2652,477;0;1;4937
"258";2653,277;1;0;4953
"259";2654,177;0;1;4971
"260";2654,927;1;0;4986
"261";2655,777;0;1;5003
"262";2656,527;1;0;5018
"263";2657,327;0;1;5034
"264";2658,077;1;0;5049
"265";2658,977;0;1;5067
"266";2659,727;1;0;5082
"267";2660,527;0;1;5098
"268";2661,277;1;0;5113
"269";2662,077;0;1;5129
"270";2662,877;1;0;5145
"271";2663,777;0;1;5163
"272";2664,477;1;0;5177
"273";2665,377;0;1;5195
"274";2666,177;1;0;5211
"275";2667,027;0;1;5228
"276";2667,777;1;0;5243
"277";2668,627;0;1;5260
"278";2669,427;1;0;5276
"279";2670,277;0;1;5293
"280";2671,027;1;0;5308
"281";2671,827;0;1;5324
"282";2672,827;1;0;5344
"283";2673,627;0;1;5360
"284";2674,227;1;0;5372
"285";2675,127;0;1;5390
"286";2675,827;1;0;5404
"287";2676,677;0;1;5421
"288";2677,427;1;0;5436
"289";2678,327;0;1;5454
"290";2679,077;1;0;5469
"291";2679,927;0;1;5486
"292";2680,677;1;0;5501
"293";2681,577;0;1;5519
"294";2682,327;1;0;5534
"295";2683,227;0;1;5552
"296";2683,977;1;0;5567
"297";2684,827;0;1;5584
"298";2685,527;1;0;5598
"299";2686,427;0;1;5616
"300";2687,177;1;0;5631
"301";2688,027;0;1;5648
"302";2688,827;1;0;5664
"303";2689,727;0;1;5682
"304";2690,577;1;0;5699
"305";2691,527;0;1;5718
"306";2692,277;1;0;5733
"307";2693,127;0;1;5750
"308";2693,877;1;0;5765
"309";2694,777;0;1;5783
"310";2695,477;1;0;5797
"311";2696,327;0;1;5814
"312";2697,077;1;0;5829
"313";2697,927;0;1;5846
"314";2698,627;1;0;5860
"315";2699,527;0;1;5878
"316";2700,227;1;0;5892
"317";2701,127;0;1;5910
"318";2701,927;1;0;5926
"319";2702,677;0;1;5941
"320";2703,477;1;0;5957
"321";2704,377;0;1;5975
"322";2705,127;1;0;5990
"323";2705,977;0;1;6007
"324";2706,727;1;0;6022
"325";2707,577;0;1;6039
"326";2708,327;1;0;6054
"327";2709,227;0;1;6072
"328";2709,977;1;0;6087
"329";2710,877;0;1;6105
"330";2711,627;1;0;6120
"331";2712,427;0;1;6136
"332";2713,127;1;0;6150
"333";2714,027;0;1;6168
"334";2714,777;1;0;6183
"335";2715,577;0;1;6199
"336";2716,377;1;0;6215
"337";2717,227;0;1;6232
"338";2717,977;1;0;6247
"339";2718,777;0;1;6263
"340";2719,577;1;0;6279
"341";2720,977;0;1;6307
"342";2721,727;1;0;6322
"343";2722,427;0;1;6336
"344";2723,527;1;0;6358
"345";2724,477;0;1;6377
"346";2725,827;1;0;6404
"347";2726,827;0;1;6424
"348";2727,527;1;0;6438
"349";2728,477;0;1;6457
"350";2729,277;1;0;6473
"351";2730,077;0;1;6489
"352";2730,827;1;0;6504
"353";2731,677;0;1;6521
"354";2732,427;1;0;6536
"355";2733,227;0;1;6552
"356";2734,077;1;0;6569
"357";2734,927;0;1;6586
"358";2735,677;1;0;6601
"359";2736,477;0;1;6617
"360";2737,277;1;0;6633
"361";2738,077;0;1;6649
"362";2738,827;1;0;6664
"363";2739,727;0;1;6682
"364";2740,477;1;0;6697
"365";2741,327;0;1;6714
"366";2742,027;1;0;6728
"367";2742,877;0;1;6745
"368";2743,627;1;0;6760
"369";2744,477;0;1;6777
"370";2745,277;1;0;6793
"371";2746,077;0;1;6809
"372";2746,927;1;0;6826
"373";2747,777;0;1;6843
"374";2748,577;1;0;6859
"375";2749,327;0;1;6874
"376";2750,377;1;0;6895
"377";2751,427;0;1;6916
"378";2752,377;1;0;6935
"379";2753,277;0;1;6953
"380";2753,927;1;0;6966
"381";2755,127;0;1;6990
"382";2755,827;1;0;7004
"383";2756,677;0;1;7021
"384";2757,577;1;0;7039
"385";2758,427;0;1;7056
"386";2759,177;1;0;7071
"387";2760,077;0;1;7089
"388";2760,827;1;0;7104
"389";2761,727;0;1;7122
"390";2762,527;1;0;7138
"391";2763,377;0;1;7155
"392";2764,227;1;0;7172
"393";2765,027;0;1;7188
"394";2765,827;1;0;7204
"395";2766,627;0;1;7220
"396";2767,477;1;0;7237
"397";2768,527;0;1;7258
"398";2769,327;1;0;7274
"399";2770,327;0;1;7294
"400";2771,227;1;0;7312
"401";2772,127;0;1;7330
"402";2772,777;1;0;7343
"403";2773,727;0;1;7362
"404";2775,077;1;0;7389
"405";2776,427;0;1;7416
"406";2777,577;1;0;7439
"407";2778,827;0;1;7464
"408";2779,927;1;0;7486
"409";2781,677;0;1;7521
"410";2782,777;1;0;7543
"411";2784,527;0;1;7578
"412";2785,577;1;0;7599
"413";2787,227;0;1;7632
"414";2788,827;1;0;7664
"415";2790,227;0;1;7692
"416";2791,477;1;0;7717
"417";2792,977;0;1;7747
"418";2794,227;1;0;7772
"419";2795,577;0;1;7799
"420";2796,727;1;0;7822
"421";2798,127;0;1;7850
"422";2799,177;1;0;7871
"423";2800,477;0;1;7897
"424";2801,577;1;0;7919
"425";2803,027;0;1;7948
"426";2804,077;1;0;7969
"427";2805,277;0;1;7993
"428";2806,477;1;0;8017
"429";2807,677;0;1;8041
"430";2808,577;1;0;8059
"431";2809,477;0;1;8077
"432";2810,177;1;0;8091
"433";2810,827;0;1;8104
"434";2811,527;1;0;8118
"435";2812,327;0;1;8134
"436";2813,327;1;0;8154
"437";2814,677;0;1;8181
"438";2815,977;1;0;8207
"439";2817,377;0;1;8235
"440";2818,477;1;0;8257
"441";2819,827;0;1;8284
"442";2821,577;1;0;8319
"443";2823,577;0;1;8359
"444";2824,527;1;0;8378
"445";2825,727;0;1;8402
"446";2827,077;1;0;8429
"447";2828,227;0;1;8452
"448";2829,227;1;0;8472
"449";2830,577;0;1;8499
"450";2831,677;1;0;8521
"451";2832,927;0;1;8546
"452";2834,077;1;0;8569
"453";2835,327;0;1;8594
"454";2836,427;1;0;8616
"455";2837,777;0;1;8643
"456";2838,927;1;0;8666
"457";2840,177;0;1;8691
"458";2841,277;1;0;8713
"459";2842,527;0;1;8738
"460";2843,727;1;0;8762
"461";2844,977;0;1;8787
"462";2846,077;1;0;8809
"463";2847,377;0;1;8835
"464";2848,577;1;0;8859
"465";2849,877;0;1;8885
"466";2850,977;1;0;8907
"467";2852,277;0;1;8933
"468";2853,427;1;0;8956
"469";2854,477;0;1;8977
"470";2855,327;1;0;8994
"471";2856,227;0;1;9012
"472";2857,027;1;0;9028
"473";2857,827;0;1;9044
"474";2858,577;1;0;9059
"475";2859,427;0;1;9076
"476";2860,327;1;0;9094
"477";2861,277;0;1;9113
"478";2862,277;1;0;9133
"479";2863,677;0;1;9161
"480";2864,677;1;0;9181
"481";2866,577;0;1;9219
"482";2867,427;1;0;9236
"483";2868,877;0;1;9265
"484";2870,127;1;0;9290
"485";2871,427;0;1;9316
"486";2872,277;1;0;9333
"487";2873,077;0;1;9349
"488";2873,927;1;0;9366
"489";2874,827;0;1;9384
"490";2875,577;1;0;9399
"491";2876,127;0;1;9410
"492";2876,277;1;0;9413
"493";2876,877;0;1;9425
"494";2877,277;1;0;9433
"495";2877,977;0;1;9447
"496";2879,027;1;0;9468
"497";2879,827;0;1;9484
"498";2880,627;1;0;9500
"499";2881,527;0;1;9518
"500";2882,727;1;0;9542
"501";2884,177;0;1;9571
"502";2884,927;1;0;9586
"503";2885,827;0;1;9604
"504";2886,627;1;0;9620
"505";2887,477;0;1;9637
"506";2888,177;1;0;9651
"507";2888,777;0;1;9663
"508";2889,677;1;0;9681
"509";2890,427;0;1;9696
"510";2891,327;1;0;9714
"511";2892,277;0;1;9733
"512";2893,027;1;0;9748
"513";2893,827;0;1;9764
"514";2894,727;1;0;9782
"515";2895,677;0;1;9801
"516";2896,627;1;0;9820
"517";2897,877;0;1;9845
"518";2899,027;1;0;9868
"519";2900,727;0;1;9902
"520";2901,877;1;0;9925
"521";2903,077;0;1;9949
"522";2903,877;1;0;9965
"523";2904,877;0;1;9985
"524";2905,677;1;0;10001
"525";2907,577;0;1;10039
"526";2908,377;1;0;10055
"527";2909,877;0;1;10085
"528";2910,777;1;0;10103
"529";2911,877;0;1;10125
"530";2913,127;1;0;10150
"531";2914,927;0;1;10186
"532";2915,927;1;0;10206
"533";2916,927;0;1;10226
"534";2918,027;1;0;10248
"535";2919,177;0;1;10271
"536";2919,877;1;0;10285
"537";2921,677;0;1;10321
"538";2922,427;1;0;10336
"539";2923,477;0;1;10357
"540";2924,277;1;0;10373
"541";2925,127;0;1;10390
"542";2925,827;1;0;10404
"543";2926,977;0;1;10427
"544";2929,177;1;0;10471
"545";2930,327;0;1;10494
"546";2930,627;1;0;10500
"547";2933,277;0;1;10553
"548";2934,177;1;0;10571
"549";2935,827;0;1;10604
"550";2936,677;1;0;10621
"551";2938,077;0;1;10649
"552";2938,677;1;0;10661
"553";2939,027;0;1;10668
"554";2941,827;1;0;10724
"555";2942,227;0;1;10732
"556";2942,577;1;0;10739
"557";2944,827;0;1;10784
"558";2947,527;1;0;10838
"559";2947,727;0;1;10842
"560";2948,027;1;0;10848
"561";2948,377;0;1;10855
"562";2948,777;1;0;10863
"563";2951,377;0;1;10915
"564";2951,627;1;0;10920
"565";2951,827;0;1;10924
"566";2953,177;1;0;10951
"567";2953,777;0;1;10963
"568";2954,227;1;0;10972
"569";2954,577;0;1;10979
"570";2955,277;1;0;10993
"571";2956,427;0;1;11016
"572";2956,727;1;0;11022
"573";2957,027;0;1;11028
"574";2958,077;1;0;11049
"575";2959,427;0;1;11076
"576";2959,677;1;0;11081
"577";2959,927;0;1;11086
"578";2960,777;1;0;11103
"579";2961,877;0;1;11125
"580";2962,527;1;0;11138
"581";2963,277;0;1;11153
"582";2963,477;1;0;11157
"583";2964,127;0;1;11170
"584";2964,877;1;0;11185
"585";2965,927;0;1;11206
"586";2966,577;1;0;11219
"587";2967,927;0;1;11246
"588";2968,677;1;0;11261
"589";2970,277;0;1;11293
"590";2971,377;1;0;11315
"591";2972,877;0;1;11345
"592";2973,777;1;0;11363
"593";2974,927;0;1;11386
"594";2976,177;1;0;11411
"595";2979,927;0;1;11486
"596";2980,927;1;0;11506
"597";2982,877;0;1;11545
"598";2984,477;1;0;11577
"599";2986,977;0;1;11627
"600";2988,227;1;0;11652
"601";2990,077;0;1;11689
"602";2990,227;1;0;11692
"603";2990,527;0;1;11698
"604";2991,977;1;0;11727
"605";2993,927;0;1;11766
"606";2995,377;1;0;11795
"607";2997,677;0;1;11841
"608";2998,877;1;0;11865
"609";3000,777;0;1;11903
"610";3001,927;1;0;11926
"611";3003,827;0;1;11964
"612";3005,327;1;0;11994
"613";3007,677;0;1;12041
"614";3009,127;1;0;12070
"615";3010,927;0;1;12106
"616";3012,027;1;0;12128
"617";3013,627;0;1;12160
"618";3013,927;1;0;12166
"619";3015,577;0;1;12199
"620";3017,777;1;0;12243
"621";3020,527;0;1;12298
"622";3022,627;1;0;12340
"623";3025,227;0;1;12392
"624";3027,277;1;0;12433
"625";3029,977;0;1;12487
"626";3030,327;1;0;12494
"627";3030,627;0;1;12500
"628";3032,577;1;0;12539
"629";3035,677;0;1;12601
"630";3037,777;1;0;12643
"631";3040,327;0;1;12694
"632";3040,677;1;0;12701
"633";3040,977;0;1;12707
"634";3043,227;1;0;12752
"635";3045,977;0;1;12807
"636";3047,977;1;0;12847
"637";3050,277;0;1;12893
"638";3050,427;1;0;12896
"639";3050,677;0;1;12901
"640";3052,227;1;0;12932
"641";3054,627;0;1;12980
"642";3056,527;1;0;13018
"643";3059,377;0;1;13075
"644";3060,777;1;0;13103
"645";3062,977;0;1;13147
"646";3065,027;1;0;13188
"647";3067,527;0;1;13238
"648";3069,077;1;0;13269
"649";3071,177;0;1;13311
"650";3072,477;1;0;13337
"651";3074,477;0;1;13377
"652";3075,727;1;0;13402
"653";3077,777;0;1;13443
"654";3079,177;1;0;13471
"655";3081,127;0;1;13510
"656";3082,277;1;0;13533
"657";3084,677;0;1;13581
"658";3087,627;1;0;13640
"659";3091,277;0;1;13713
"660";3093,877;1;0;13765
"661";3096,777;0;1;13823
"662";3097,127;1;0;13830
"663";3097,477;0;1;13837
"664";3099,277;1;0;13873
"665";3101,677;0;1;13921
"666";3102,027;1;0;13928
"667";3102,377;0;1;13935
"668";3104,377;1;0;13975
"669";3106,577;0;1;14019
"670";3107,727;1;0;14042
"671";3110,727;0;1;14102
"672";3111,027;1;0;14108
"673";3111,377;0;1;14115
"674";3112,977;1;0;14147
"675";3115,577;0;1;14199
"676";3115,877;1;0;14205
"677";3116,177;0;1;14211
"678";3117,327;1;0;14234
"679";3118,977;0;1;14267
"680";3119,127;1;0;14270
"681";3119,427;0;1;14276
"682";3120,677;1;0;14301
"683";3122,677;0;1;14341
"684";3122,927;1;0;14346
"685";3123,177;0;1;14351
"686";3125,077;1;0;14389
"687";3127,727;0;1;14442
"688";3129,077;1;0;14469
"689";3131,127;0;1;14510
"690";3132,577;1;0;14539
"691";3134,577;0;1;14579
"692";3134,877;1;0;14585
"693";3135,177;0;1;14591
"694";3136,427;1;0;14616
"695";3138,177;0;1;14651
"696";3138,427;1;0;14656
"697";3138,677;0;1;14661
"698";3139,627;1;0;14680
"699";3140,577;0;1;14699
"700";3141,627;1;0;14720
"701";3143,677;0;1;14761
"702";3143,827;1;0;14764
"703";3144,077;0;1;14769
"704";3145,177;1;0;14791
"705";3146,827;0;1;14824
"706";3147,927;1;0;14846
"707";3149,677;0;1;14881
"708";3150,377;1;0;14895
"709";3150,677;0;1;14901
"710";3151,927;1;0;14926
"711";3153,827;0;1;14964
"712";3154,877;1;0;14985
"713";3156,327;0;1;15014
"714";3157,277;1;0;15033
"715";3158,527;0;1;15058
"716";3159,327;1;0;15074
"717";3160,427;0;1;15096
"718";3162,077;1;0;15129
"719";3164,727;0;1;15182
"720";3165,677;1;0;15201
"721";3167,127;0;1;15230
"722";3168,277;1;0;15253
"723";3169,677;0;1;15281
"724";3170,977;1;0;15307
"725";3172,727;0;1;15342
"726";3174,177;1;0;15371
"727";3176,127;0;1;15410
"728";3177,327;1;0;15434
"729";3179,227;0;1;15472
"730";3180,927;1;0;15506
"731";3183,077;0;1;15549
"732";3184,427;1;0;15576
"733";3186,127;0;1;15610
"734";3187,277;1;0;15633
"735";3188,727;0;1;15662
"736";3190,627;1;0;15700
"737";3193,027;0;1;15748
"738";3194,127;1;0;15770
"739";3195,427;0;1;15796
"740";3196,727;1;0;15822
"741";3198,427;0;1;15856
"742";3199,627;1;0;15880
"743";3201,077;0;1;15909
"744";3202,527;1;0;15938
"745";3204,577;0;1;15979
"746";3205,777;1;0;16003
"747";3207,277;0;1;16033
"748";3208,777;1;0;16063
"749";3210,527;0;1;16098
"750";3211,977;1;0;16127
"751";3213,827;0;1;16164
"752";3215,327;1;0;16194
"753";3217,227;0;1;16232
"754";3218,527;1;0;16258
"755";3220,227;0;1;16292
"756";3221,327;1;0;16314
"757";3223,077;0;1;16349
"758";3224,427;1;0;16376
"759";3225,877;0;1;16405
"760";3227,177;1;0;16431
"761";3229,027;0;1;16468
"762";3230,327;1;0;16494
"763";3231,777;0;1;16523
"764";3233,177;1;0;16551
"765";3234,977;0;1;16587
"766";3236,427;1;0;16616
"767";3238,077;0;1;16649
"768";3240,127;1;0;16690
"769";3242,877;0;1;16745
"770";3244,777;1;0;16783
"771";3247,027;0;1;16828
"772";3248,777;1;0;16863
"773";3250,977;0;1;16907
"774";3252,477;1;0;16937
"775";3254,227;0;1;16972
"776";3255,577;1;0;16999
"777";3257,327;0;1;17034
"778";3258,327;1;0;17054
"779";3259,777;0;1;17083
"780";3260,977;1;0;17107
"781";3262,527;0;1;17138
"782";3263,677;1;0;17161
"783";3265,127;0;1;17190
"784";3266,477;1;0;17217
"785";3268,077;0;1;17249
"786";3269,277;1;0;17273
"787";3270,927;0;1;17306
"788";3272,227;1;0;17332
"789";3274,027;0;1;17368
"790";3275,327;1;0;17394
"791";3276,827;0;1;17424
"792";3277,827;1;0;17444
"793";3279,677;0;1;17481
"794";3280,027;1;0;17488
"795";3280,327;0;1;17494
"796";3281,427;1;0;17516
"797";3282,827;0;1;17544
"798";3283,927;1;0;17566
"799";3285,327;0;1;17594
"800";3286,327;1;0;17614
"801";3287,677;0;1;17641
"802";3288,577;1;0;17659
"803";3289,727;0;1;17682
"804";3290,777;1;0;17703
"805";3292,127;0;1;17730
"806";3293,677;1;0;17761
"807";3295,977;0;1;17807
"808";3297,227;1;0;17832
"809";3298,877;0;1;17865
"810";3300,127;1;0;17890
"811";3301,677;0;1;17921
"812";3302,577;1;0;17939
"813";3303,927;0;1;17966
"814";3305,077;1;0;17989
"815";3306,527;0;1;18018
"816";3307,627;1;0;18040
"817";3309,077;0;1;18069
"818";3310,227;1;0;18092
"819";3311,527;0;1;18118
"820";3312,527;1;0;18138
"821";3313,777;0;1;18163
"822";3314,877;1;0;18185
"823";3316,177;0;1;18211
"824";3317,277;1;0;18233
"825";3318,577;0;1;18259
"826";3319,677;1;0;18281
"827";3321,077;0;1;18309
"828";3322,177;1;0;18331
"829";3323,477;0;1;18357
"830";3324,677;1;0;18381
"831";3326,077;0;1;18409
"832";3327,227;1;0;18432
"833";3328,527;0;1;18458
"834";3329,577;1;0;18479
"835";3331,077;0;1;18509
"836";3332,177;1;0;18531
"837";3333,377;0;1;18555
"838";3334,327;1;0;18574
"839";3335,327;0;1;18594
"840";3336,327;1;0;18614
"841";3337,377;0;1;18635
"842";3338,327;1;0;18654
"843";3339,627;0;1;18680
"844";3340,677;1;0;18701
"845";3342,127;0;1;18730
"846";3343,477;1;0;18757
"847";3345,277;0;1;18793
"848";3346,527;1;0;18818
"849";3348,027;0;1;18848
"850";3349,127;1;0;18870
"851";3350,427;0;1;18896
"852";3351,827;1;0;18924
"853";3353,927;0;1;18966
"854";3355,027;1;0;18988
"855";3357,177;0;1;19031
"856";3358,327;1;0;19054
"857";3359,727;0;1;19082
"858";3360,827;1;0;19104
"859";3362,327;0;1;19134
"860";3363,177;1;0;19151
"861";3364,277;0;1;19173
"862";3365,927;1;0;19206
"863";3368,327;0;1;19254
"864";3369,177;1;0;19271
"865";3370,127;0;1;19290
"866";3370,977;1;0;19307
"867";3371,827;0;1;19324
"868";3372,827;1;0;19344
"869";3373,827;0;1;19364
"870";3374,827;1;0;19384
"871";3375,677;0;1;19401
"872";3376,727;1;0;19422
"873";3377,677;0;1;19441
"874";3378,677;1;0;19461
"875";3379,627;0;1;19480
"876";3380,427;1;0;19496
"877";3381,077;0;1;19509
"878";3381,627;1;0;19520
"879";3382,377;0;1;19535
"880";3382,927;1;0;19546
"881";3383,627;0;1;19560
"882";3384,377;1;0;19575
"883";3385,227;0;1;19592
"884";3385,877;1;0;19605
"885";3386,577;0;1;19619
"886";3387,327;1;0;19634
"887";3388,327;0;1;19654
"888";3389,027;1;0;19668
"889";3389,777;0;1;19683
"890";3390,427;1;0;19696
"891";3391,327;0;1;19714
"892";3392,277;1;0;19733
"893";3393,827;0;1;19764
"894";3394,677;1;0;19781
"895";3395,527;0;1;19798
"896";3396,277;1;0;19813
"897";3397,077;0;1;19829
"898";3397,777;1;0;19843
"899";3398,577;0;1;19859
"900";3399,327;1;0;19874
"901";3400,127;0;1;19890
"902";3400,877;1;0;19905
"903";3401,727;0;1;19922
"904";3402,477;1;0;19937
"905";3403,277;0;1;19953
"906";3404,027;1;0;19968
"907";3404,777;0;1;19983
"908";3405,577;1;0;19999
"909";3406,377;0;1;20015
"910";3407,127;1;0;20030
"911";3407,927;0;1;20046
"912";3408,677;1;0;20061
"913";3409,477;0;1;20077
"914";3410,277;1;0;20093
"915";3411,077;0;1;20109
"916";3411,827;1;0;20124
"917";3412,627;0;1;20140
"918";3413,327;1;0;20154
"919";3414,177;0;1;20171
"920";3414,927;1;0;20186
"921";3415,727;0;1;20202
"922";3416,477;1;0;20217
"923";3417,277;0;1;20233
"924";3418,027;1;0;20248
"925";3418,827;0;1;20264
"926";3419,577;1;0;20279
"927";3420,377;0;1;20295
"928";3421,077;1;0;20309
"929";3421,927;0;1;20326
"930";3422,727;1;0;20342
"931";3423,527;0;1;20358
"932";3424,277;1;0;20373
"933";3425,077;0;1;20389
"934";3425,827;1;0;20404
